Product,Refrigerated,Frozen,Category,Refrigerated in days,Frozen in days
"juice, fruit drinks, punch",7-10 days,8-12 months,Fruit Beverages,7,240
Butter,1-3 months,6-9 months,Diary Products,30,180
Buttermilk,1-2 weeks,3 months,Diary Products,7,90
"Cheddar, swiss, block parmesan",3-4 weeks,6 months,Diary Products,21,180
"Shredded cheddar, mozzarella",1 month,3-4 months,Diary Products,30,90
"Cheese, processed slices",1-2 months,Doesn't freeze well,Diary Products,30,-1
"Cheese, soft (such as Brie, Bel Paese)",1 week,6 months,Diary Products,7,180
"Cottage cheese, ricotta",1 week,Doesn't freeze well,Diary Products,7,-1
Cream cheese,2 weeks,Doesn't freeze well,Diary Products,14,-1
"Cream, whipping, ultrapasteurized",1 month,Do not freeze,Diary Products,30,-1
"Whipped, sweetened",1 day,1-2 months,Diary Products,1,30
"Aerosol can, real whipped cream",3-4 weeks,Do not freeze,Diary Products,21,-1
"Aerosol can, nondairy topping",3 months,Do not freeze,Diary Products,90,-1
"Cream, half-and-half",3-4 days,4 months,Diary Products,3,120
"Dips, sour cream based",2 weeks,Do not freeze,Diary Products,14,-1
"Egg substitutes, liquid",3 days,Do not freeze,Diary Products,3,-1
"Eggnog, commercial",3-5 days,6 months,Diary Products,3,180
"Eggs, in shell",3-5 weeks,Do not freeze,Diary Products,21,-1
"egg raw whites, egg yolks",2-4 days,12 months,Diary Products,2,30
hard cooked eggs,1 week,Doesn't freeze well,Diary Products,7,-1
Kefir (fermented milk),1 week,Do not freeze,Diary Products,7,-1
Margarine,6 months,12 months,Diary Products,180,30
"Milk, plain or flavored",1 week,3 months,Diary Products,7,90
Pudding,2 days,Do not freeze,Diary Products,2,-1
Sour cream,7-21 days,Doesn't freeze well,Diary Products,7,-1
Yogurt,7-14 days,1-2 months,Diary Products,7,30
"Tube cans of biscuits, rolls, pizza dough, etc.",Use-by date,Do not freeze,Dough,-1,-1
Ready-to-bake pie crust,Use-by date,2 months,Dough,-1,60
Cookie dough,Use by date,2 months,Dough,-1,60
Pasta,1-2 days,2 months,Dough,1,60
Pesto or Salsa,3 days,1-2 months,Dough,3,30
Soy or rice beverage,7-10 days,Do not freeze,Soy products,7,-1
Tofu,1 week,5 months,Soy products,7,150
Miso,3 months,Do not freeze,Soy products,90,-1
"Lean fish (cod, flounder, haddock, halibut, sole, etc.)",1-2 days,6-8 months,Fish,1,180
"Lean fish (pollock, ocean perch, rockfish, sea trout)",1-2 days,4 months,Fish,1,120
"Fatty fish (bluefish, mackerel, mullet, salmon, tuna, etc.)",1-2 days,2-3 months,Fish,1,60
"Caviar, fresh",2 days,Doesn't freeze well,Fish,2,-1
Cooked fish,3-4 days,1-2 months,Fish,3,30
Surimi seafood,3-4 days,9 months,Fish,3,270
"Shrimp, scallops, crayfish, squid",1-2 days,3-6 months,Shellfish,1,90
"Shucked clams, mussels and oysters",1-2 days,3-4 months,Shellfish,1,90
"Crab meat, fresh",1-2 days,4 months,Shellfish,1,120
"Crab meat, pasteurized",3-5 days,4 months,Shellfish,3,120
"Crab legs, king, dungeness, snow",5 days,9-12 months,Shellfish,5,270
"Live clams, mussels, crab and oysters",1-2 days,2-3 months,Shellfish,1,60
Live lobsters,1-2 days,2-3 months,Shellfish,1,60
Lobster tails,1-2 days,6 months,Shellfish,1,180
"Cooked shellfish, all",3-4 days,3 months,Shellfish,3,90
Herring,3-4 days,2 months,Smoked Fish,3,60
"Salmon, whitefish, cold-smoked",5-8 days,2 months,Smoked Fish,5,60
"Salmon, whitefish, hot smoked",14 days,6 months,Smoked Fish,1,180
"Beef, lamb, pork or veal chops, steaks,roasts",3-5 days,4-12 months,Fresh Meat,3,120
Ground meat,1-2 days,3-4 months,Fresh Meat,1,90
"Variety meats (liver, tongue, chitterlings, etc.)",1-2 days,3-4 months,Fresh Meat,1,90
Cooked meats (after home cooking),3-4 days,2-3 months,Fresh Meat,3,60
Bacon,1 week,1 month,"Processed, Smoked Meat",7,30
"Corned beef, in pouch with pickling juices",5-7 days,1 month,"Processed, Smoked Meat",5,30
"Ham, canned (""keep refrigerated"" label)",6-9 months,Do not freeze,"Processed, Smoked Meat",180,-1
"Ham, fully cooked, whole",1 week,1-2 months,"Processed, Smoked Meat",7,30
"Ham, fully cooked, slices or half",3-4 days,1-2 months,"Processed, Smoked Meat",3,30
"Ham, cook before eating",1 week,1-2 months,"Processed, Smoked Meat",7,30
"Hot dogs, sealed in package",2 weeks,1-2 months,"Processed, Smoked Meat",14,30
"Hot dogs, after opening",1 week,1-2 months,"Processed, Smoked Meat",7,30
"Lunch meats, sealed in package",2 weeks,1-2 months,"Processed, Smoked Meat",14,30
"Lunch meats, after opening",3-5 days,1-2 months,"Processed, Smoked Meat",3,30
"Sausage, raw, bulk type",1-2 days,1-2 months,"Processed, Smoked Meat",1,30
"Sausage, smoked links, patties",1 week,1-2 months,"Processed, Smoked Meat",7,30
"Sausage, hard, dry (pepperoni), sliced",2-3 weeks,1-2 months,"Processed, Smoked Meat",14,30
"Chicken or turkey, whole",1-2 days,12 months,"Poultry, fresh",1,30
"Chicken or turkey, parts",1-2 days,9 months,"Poultry, fresh",1,270
"Duckling or goose, whole",1-2 days,6 months,"Poultry, fresh",1,180
Giblets,1-2 days,3-4 months,"Poultry, fresh",1,90
"Chicken nuggets, patties",1-2 days,1-3 months,"Poultry, cooked or processed",1,30
Cooked poultry dishes,3-4 days,4-6 months,"Poultry, cooked or processed",3,120
Fried chicken,3-4 days,4 months,"Poultry, cooked or processed",3,120
Ground turkey or chicken,1-2 days,3-4 months,"Poultry, cooked or processed",1,90
"Lunch meats, sealed in package",2 weeks,1-2 months,"Poultry, cooked or processed",14,30
"Lunch meats, after opening",3-5 days,1-2 months,"Poultry, cooked or processed",3,30
Pieces covered with broth or gravy,1-2 days,6 months,"Poultry, cooked or processed",1,180
Rotisserie chicken,3-4 days,4 months,"Poultry, cooked or processed",3,120
Bagels,2 months,1-2 weeks,Frozen items,60,7
"Bread Dough, commercial",Use-by date,4-7 days,Frozen items,-1,4
"Burritos, sandwiches",2 months,3-4 days,Frozen items,60,3
Egg substitutes,12 months,Date on Carton,Frozen items,30,-1
"Fish, breaded",3-6 months,Do not defrost. Cook frozen.,Frozen items,90,-1
"Fish, raw",6 months,1-2 days,Frozen items,180,1
"Fruit such as berries, melons",4-6 months,4-5 days,Frozen items,120,4
Guacamole,3-4 months,3-4 days,Frozen items,90,3
Ice cream,2-4 months,N/A,Frozen items,60,-1
Juice concentrates,6-12 months,7-10 days,Frozen items,180,7
Lobster tails,3 months,2 days,Frozen items,90,2
"Pancakes, Waffles",2 months,3-4 days,Frozen items,60,3
"Sausages, uncooked",1-2 months,1-2 days,Frozen items,30,1
precooked,1-2 months,1 week,Frozen items,30,7
"Sherbet, sorbet",2-4 months,N/A,Frozen items,60,-1
"Shrimp, shellfish",12 months,1-2 days,Frozen items,30,1
Soy crumbles and hotdogs,9 months,3-4 days,Frozen items,270,3
Soy meat substitutes,12-18 months,3-4 days,Frozen items,30,3
Tempeh,12 months,1-2 weeks,Frozen items,30,7
"Topping, whipped",6 months,2 weeks,Frozen items,180,14
"TV Dinners, entrees, breakfast",3 months,Do not defrost. Cook frozen.,Frozen items,90,-1
Vegetables,8 months,3-4 days,Frozen items,240,3
"Main dishes or meals, hot or refrigerated",3-4 days,2-3 months,Deli foods,3,60
Meats covered with gravy or broth,1-2 days,6 months,Deli foods,1,180
Commercial brand vacuum packed dinners with USDA seal,2 weeks,Does not freeze well,Deli foods,14,-1
"Chicken, rotisserie or fried",3-4 days,4 months,Deli foods,3,120
"Luncheon meats, store-sliced",3-5 days,1-2 months,Deli foods,3,30
Pate,1-2 days,1-2 months,Deli foods,1,30
"Cheese, store-sliced, hard cheese, such as cheddar or swiss",3-4 weeks,6 months,Deli foods,21,180
"Cheese, soft (such as brie, bel paese, goat cheese, fresh mozzarella)",1 week,6 months,Deli foods,7,180
"Salads containing meat, fish, poultry or eggs",3-4 days,Don’t freeze.,Deli foods,3,-1
"Salads, vegetable",3-5 days,Don’t freeze.,Deli foods,3,-1
"Side dishes such as cooked vegetables, rice or potatoes",3-4 days,1-2 months,Deli foods,3,30
Olives,2 weeks,Don’t freeze,Deli foods,14,-1
Pudding,2 days after opening,Don't freeze,Deli foods,2,-1
"Fruit, cut",4 days after opening,Don't freeze,Deli foods,4,-1
Cheesecake,1 week,2-3 months,Deli foods,7,60
Apples,1-2 days,3 weeks,Fruits,1,21
Apricots,Until ripe,2-3 days,Fruits,-1,2
Avocados,Until ripe,3-4 days,Fruits,-1,3
Bananas,Until ripe,"2 days, skin will blacken",Fruits,-1,2
"Berries, cherries",N/A,1-2 days,Fruits,-1,1
Citrus Fruit,10 days,1-2 weeks,Fruits,1,7
"Coconuts, fresh",1 week,2-3 weeks,Fruits,7,14
Grapes,1 day,1 week,Fruits,1,7
Kiwi Fruit,Until ripe,3-4 days,Fruits,-1,3
Melons,1-2 days,3-4 days,Fruits,1,3
"Papaya, mango",3-5 days,1 week,Fruits,3,7
"Peaches, nectarines",Until ripe,3-4 days,Fruits,-1,3
"Pears, Plums",3-5 days,3-4 days,Fruits,3,3
"Artichokes, whole",1-2 days,1-2 weeks,Vegetables,1,7
Asparagus,N/A,3-4 days,Vegetables,-1,3
"Beans, green or wax",N/A,3-4 days,Vegetables,-1,3
Beets,1 day,7-10 days,Vegetables,1,7
Bok choy,N/A,2-3days,Vegetables,-1,2
"Broccoli, raab, rapini",N/A,3-5 days,Vegetables,-1,3
Brussels sprouts,N/A,3-5 days,Vegetables,-1,3
Cauliflower,N/A,3-5 days,Vegetables,-1,3
Cabbage,N/A,1-2 weeks,Vegetables,-1,7
"Carrots, parsnips",N/A,3 weeks,Vegetables,-1,21
Celery,N/A,1-2 weeks,Vegetables,-1,7
Corn on the cob,N/A,1-2 days,Vegetables,-1,1
Cucumbers,N/A,4-5 days,Vegetables,-1,4
Eggplant,1 day,3-4 days,Vegetables,1,3
Garlic,1 month,1-2 weeks,Vegetables,30,7
Ginger Root,1-2 days,1-2 weeks,Vegetables,1,7
Greens,N/A,1-2 days,Vegetables,-1,1
"Herbs, fresh",N/A,7-10 days,Vegetables,-1,7
Leeks,N/A,1-2 weeks,Vegetables,-1,7
"Lettuce, iceberg",N/A,1-2 weeks,Vegetables,-1,7
"Lettuce, leaf",N/A,3-7 days,Vegetables,-1,3
Mushrooms,N/A,2-3 days,Vegetables,-1,2
Okra,N/A,2-3 days,Vegetables,-1,2
Onions,2-3 weeks,2 months,Vegetables,14,60
"Parsley, cilantro",N/A,1 week,Vegetables,-1,7
"Peppers, bell or chile",N/A,4-5 days,Vegetables,-1,4
Potatoes,1-2 months,1-2 weeks,Vegetables,30,7
Radishes,N/A,10-14 days,Vegetables,-1,1
Rutabagas,1 week,2 weeks,Vegetables,7,14
Spinach,N/A,1-2 days,Vegetables,-1,1
Summer Squash,1 week,4-5 days,Vegetables,7,4
Winter Squash,1 week,2 weeks,Vegetables,7,14
Turnips,N/A,2 weeks,Vegetables,-1,14
Tomatoes,Until ripe,2-3 days,Vegetables,-1,2
Diet powder mixes,6 months,N/A,Shelf-stable foods,180,-1
"Extracts, vanilla, lemon, etc",3 years,N/A,Shelf-stable foods,1095,-1
"Fruits, dried",6 months,6 months,Shelf-stable foods,180,180
"Garlic, chopped",18 months,N/A,Shelf-stable foods,30,-1
Gelatin,18 months,N/A,Shelf-stable foods,30,-1
"Gravy, jars and cans",2-5 years,1-2 days,Shelf-stable foods,730,1
"Herbs, dried",1-2 years,N/A,Shelf-stable foods,365,-1
Honey,12 months,N/A,Shelf-stable foods,30,-1
"Jams, jellies, preserves",12 months,6 months,Shelf-stable foods,30,180
"Jerky, commercially dried",12 months,2-3 months,Shelf-stable foods,30,60
"Juice, boxes",4-6 months,8-12 days,Shelf-stable foods,120,8
"Lentils, dried",12 months,N/A,Shelf-stable foods,30,-1
"Marshmallows,",2-4 months,N/A,Shelf-stable foods,60,-1
"Milk, canned evaporated",12 months,4-5 days,Shelf-stable foods,30,4
